,campaign_id,campaign_name,platform,start_date,end_date,users_acquired_count,retention_7d_pct,retention_30d_pct,retention_90d_pct,premium_conversion_pct,nps_score,cac,total_spend,roi,performance_category,hooks,offers,tone,pain_points_emphasized,creative_format
0,70a5592e,Campaign_7431,LinkedIn,2023-01-09,2023-03-12,2425,12.82,10.26,31.98,14.48,-0.7,85.83,37908.92,4.84,Top ROI,Exclusive for members,Buy one get one free,Inspirational,"Highlighting long-term cost savings, Showcasing customization features, Showcasing customer success stories, Demonstrating step-by-step tutorials",static
1,e303f575,Campaign_5143,LinkedIn,2023-10-13,2023-11-12,5359,77.17,28.29,23.05,9.91,5.1,32.46,2526.09,-0.19,Low ROI,Early bird discount,Extended warranty,Humorous,"Highlighting premium customer support, Featuring influencer endorsements, Promoting exclusive membership benefits, Promoting fast delivery services",carousel
2,a3157abc,Campaign_8269,Facebook,2023-06-03,2023-06-24,3505,36.32,48.45,4.12,17.17,15.5,56.72,6518.59,1.51,Top ROI,Unlock your potential,Early access,Inspirational,"Focus on time-saving features, Focusing on family-oriented benefits, Highlighting limited-time offers, Featuring influencer endorsements",video
3,c5897bb9,Campaign_1231,Google Ads,2023-03-12,2023-05-11,7318,78.39,5.25,38.44,19.87,34.2,15.38,17781.52,2.95,Top ROI,Join now and save,Buy one get one free,Urgent,"Showcasing innovative technology, Emphasizing product versatility, Encouraging community engagement, Highlighting budget-friendly options",static
4,c8e82bac,Campaign_2079,Twitter,2023-03-29,2023-06-24,9293,63.85,53.47,20.9,6.94,28.8,62.13,6615.04,1.52,Top ROI,Exclusive for members,Lifetime access,Humorous,"Highlighting long-term cost savings, Promoting exclusive membership benefits, Promoting fast delivery services, Highlighting limited-time offers",video
5,db84e4e1,Campaign_7823,Twitter,2023-04-07,2023-06-05,7069,41.61,10.55,37.32,12.76,60.6,11.09,5596.11,4.36,Top ROI,Upgrade today,Early access,Educational,"Highlighting limited-time offers, Encouraging community engagement, Featuring influencer endorsements, Targeting young professionals",video
6,2ea816b0,Campaign_5735,LinkedIn,2023-10-23,2024-01-06,1257,65.3,63.22,41.74,7.68,44.7,40.32,15529.03,4.28,Top ROI,Exclusive for members,Free shipping,Urgent,"Highlighting eco-friendly products, Promoting charitable contributions, Promoting exclusive membership benefits, Demonstrating ease of use",carousel
7,283584b1,Campaign_6094,Twitter,2023-09-24,2023-11-07,372,47.87,67.68,16.15,12.32,25.8,25.62,41875.05,0.2,Low ROI,Boost your career,Free upgrade,Inspirational,"Showcasing customization features, Featuring influencer endorsements, Showcasing behind-the-scenes content, Encouraging community engagement",carousel
8,c65e7544,Campaign_9846,Instagram,2023-08-29,2023-09-11,7573,15.81,11.87,20.11,7.79,29.8,83.37,13490.09,0.12,Low ROI,Limited time offer,Free shipping,Motivational,"Focusing on health and wellness benefits, Highlighting budget-friendly options, Emphasizing product versatility, Highlighting long-term cost savings",carousel
9,b2fda5f8,Campaign_5919,LinkedIn,2023-01-28,2023-04-08,7825,59.01,69.57,8.39,14.01,-1.6,59.9,6092.36,4.8,Top ROI,Limited time offer,Early access,Urgent,"Showcasing customer success stories, Demonstrating ease of use, Promoting exclusive membership benefits, Highlighting premium customer support",carousel
